data,descricao,categoria,tipo,valor,conta,instituicao,status
2024-01-15,Salário Mensal,Salário,receita,5000,Conta Corrente,Banco do Brasil,Concluído
2024-01-20,Supermercado Semanal,Alimentação,despesa,450,Conta Corrente,Banco do Brasil,Concluído
2024-01-22,Conta de Luz,Casa,despesa,120,Conta Corrente,Banco do Brasil,Concluído
2024-01-25,Internet,Casa,despesa,100,Conta Corrente,Banco do Brasil,Concluído
2024-02-01,Aluguel,Casa,despesa,1500,Conta Corrente,Banco do Brasil,Concluído
2024-02-05,Uber,Transporte,despesa,80,Conta Corrente,Banco do Brasil,Concluído
2024-02-10,Restaurante,Alimentação,despesa,150,Conta Corrente,Banco do Brasil,Concluído
2024-02-15,Salário Mensal,Salário,receita,5000,Conta Corrente,Banco do Brasil,Concluído
2024-02-20,Academia,Saúde,despesa,120,Conta Corrente,Banco do Brasil,Concluído
2024-02-25,Netflix,Lazer,despesa,39.90,Conta Corrente,Banco do Brasil,Concluído
