data,descricao,categoria,tipo,valor,conta,instituicao,status
2026-01-01,Café de confraternização de ano novo,Alimentação,saida,48.50,Carteira digital,Carteira Nuvem,confirmado
2026-01-02,Pagamento aluguel residencial janeiro,Aluguel,saida,3200.00,Conta corrente,Banco Aurora,confirmado
2026-01-03,Mercado da semana 1 janeiro,Mercado,saida,326.40,Cartão de crédito,Banco Horizonte,confirmado
2026-01-04,Padaria e café da manhã 1 janeiro,Alimentação,saida,38.60,Carteira digital,Carteira Nuvem,confirmado
2026-01-05,Abastecimento veículo 1 janeiro,Combustível,saida,238.50,Cartão de crédito,Banco Aurora,confirmado
2026-01-06,Plano de saúde familiar janeiro,Saúde,saida,950.00,Conta corrente,Banco Aurora,confirmado
2026-01-06,Aplicativo de transporte corrida 1 janeiro,Aplicativos de transporte,saida,29.30,Carteira digital,Carteira Nuvem,confirmado
2026-01-07,Salário principal janeiro,Salário,entrada,12500.00,Conta corrente,Banco Aurora,confirmado
2026-01-07,Salário complementar janeiro,Salário,entrada,5000.00,Conta corrente,Banco Horizonte,confirmado
2026-01-07,Restaurante no fim de semana 1 janeiro,Restaurantes,saida,124.50,Cartão de crédito,Banco Horizonte,confirmado
2026-01-08,Condomínio residencial janeiro,Condomínio,saida,720.00,Conta corrente,Banco Aurora,confirmado
2026-01-08,Delivery jantar 1 janeiro,Delivery,saida,82.20,Carteira digital,Carteira Nuvem,confirmado
2026-01-09,Mensalidade escolar janeiro,Educação,saida,850.00,Conta corrente,Banco Horizonte,confirmado
2026-01-09,Mercado da semana 2 janeiro,Mercado,saida,284.70,Cartão de crédito,Banco Horizonte,confirmado
2026-01-10,Conta de água janeiro,Água,saida,148.30,Conta corrente,Banco Aurora,confirmado
2026-01-10,Farmácia medicamentos básicos janeiro,Farmácia,saida,94.70,Cartão de crédito,Banco Horizonte,confirmado
2026-01-10,Parcela anual de IPTU,Impostos,saida,920.00,Conta corrente,Banco Aurora,confirmado
2026-01-11,Conta de energia elétrica janeiro,Energia elétrica,saida,336.70,Conta corrente,Banco Aurora,confirmado
2026-01-11,Aplicativo de transporte corrida 2 janeiro,Aplicativos de transporte,saida,38.70,Carteira digital,Carteira Nuvem,confirmado
2026-01-12,Plano de internet fibra janeiro,Internet,saida,139.90,Cartão de crédito,Banco Horizonte,confirmado
2026-01-12,Abastecimento veículo 2 janeiro,Combustível,saida,221.40,Cartão de crédito,Banco Aurora,confirmado
2026-01-13,Plano de telefone móvel janeiro,Telefone,saida,119.90,Cartão de crédito,Banco Horizonte,confirmado
2026-01-13,Restaurante no fim de semana 2 janeiro,Restaurantes,saida,141.80,Cartão de crédito,Banco Horizonte,confirmado
